0,19,19,39.0948,19,29.0474,
1,19,19,39.1367,19,29.0684,
2,19,19,39.1788,19,29.0894,
3,19,19,39.2209,19,29.1104,
4,19,19,39.2631,19,29.1316,
5,19,19,39.3054,19,29.1527,
6,20,20,39.3478,20,29.6739,
7,20,20,39.3882,20,29.6941,
8,20,20,39.4287,20,29.7143,
9,20,20,39.4692,20,29.7346,
10,20,20,39.5099,20,29.7549,
11,20,20,39.5506,20,29.7753,
12,20,20,39.5914,20,29.7957,
13,21,21,39.6323,21,30.3162,
14,21,21,39.6712,21,30.3356,
15,21,21,39.7102,21,30.3551,
16,21,21,39.7493,21,30.3746,
17,21,21,39.7884,21,30.3942,
18,21,21,39.8276,21,30.4138,
19,22,22,39.8669,22,30.9335,
20,22,22,39.9042,22,30.9521,
21,22,22,39.9416,22,30.9708,
22,22,22,39.9791,22,30.9895,
23,22,22,40.0166,22,31.0083,
24,22,22,40.0542,22,31.0271,
25,22,22,40.0919,22,31.046,
26,23,23,40.1297,22.723,31.5648,
27,23,23,40.1654,22.7224,31.5827,
28,23,23,40.2013,22.7218,31.6006,
29,23,23,40.2372,22.7212,31.6186,
30,23,23,40.2732,22.7207,31.6366,
31,23,23,40.3092,22.7201,31.6546,
32,24,24,40.3454,22.7195,32.1727,
33,24,24,40.3795,22.7168,32.1897,
34,24,24,40.4137,22.7141,32.2068,
35,24,24,40.448,22.7115,32.224,
36,24,24,40.4823,22.7088,32.2411,
37,24,24,40.5167,22.7061,32.2584,
38,24,24,40.5512,22.7034,32.2756,
39,25,25,40.5857,22.7007,32.7929,
40,25,25,40.6183,22.6959,32.8091,
41,25,25,40.6509,22.6911,32.8254,
42,25,25,40.6836,22.6862,32.8418,
43,25,25,40.7163,22.6814,32.8581,
44,25,25,40.7491,22.6766,32.8746,
45,26,26,40.782,22.6717,33.391,
46,26,26,40.8128,22.6648,33.4064,
47,26,26,40.8438,22.6578,33.4219,
48,26,26,40.8748,22.6508,33.4374,
49,26,26,40.9058,22.6438,33.4529,
50,26,26,40.9369,22.6368,33.4685,
51,26,26,40.9681,22.6298,33.4841,
52,27,27,40.9994,22.6228,33.9997,
53,27,27,41.0286,22.6136,34.0143,
54,27,27,41.0579,22.6045,34.0289,
55,27,27,41.0872,22.5953,34.0436,
56,27,27,41.1166,22.5861,34.0583,
57,27,27,41.1461,22.5769,34.0731,
58,28,28,41.1756,22.5677,34.5878,
59,28,28,41.2031,22.5563,34.6016,
60,28,28,41.2307,22.545,34.6154,
61,28,28,41.2583,22.5336,34.6292,
62,28,28,41.286,22.5221,34.643,
63,28,28,41.3138,22.5107,34.6569,
64,28,28,41.3415,22.4993,34.6708,
65,29,29,41.3694,22.4878,35.1847,
66,29,29,41.3952,22.4742,35.1976,
67,29,29,41.4211,22.4606,35.2106,
68,29,29,41.447,22.4469,35.2235,
